Stock,Price,W52r,Div,MCap,Rev,Beta,Shares,Empl,Ind,Sector,Industry
Accor SA (ACCP),27.53,21.06 - 42.58,1.05,7.57B,6.03B,1.06,270.932.350,196020,cac 40,Services,Hôtels et motels
Aeroports de Paris SA (ADP),89.5,70.7 - 181.5,0.7,8.49B,5.87B,1.14,98.944.352,26122,cac mid 60,Transport,Transports (divers)
Air France - KLM SA (AIRF),3.73,3.26 - 11.11,1.43,1.56B,20.35B,0.99,427.432.464,83896,cac mid 60,Transport,Compagnies aériennes
Air Liquide SA (AIRP),120.05,94.86 - 140.7,2.7,55.21B,32.77B,0.79,473.105.514,67200,cac 40,Matériaux de base,Fabrication de produits chimiques
Akka Technologies (AKA),16.56,15.68 - 62.27,0.64,360.25M,1.51B,2.06,21.833.313,20930,cac mid 60,Technologie,Logiciels et programmation
Albioma SA (ABIO),43.8,21.3 - 45.8,0.7,1.41B,756.39M,0.63,30.893.808,579,cac mid 60,Fournisseurs de services,Fournisseurs d'électricité
ALD SA (ALDA),9.32,6.29 - 14.24,0.63,3.61B,14.49B,,403.000.753,6708,cac mid 60,Services,Location et leasing
Alstom SA (ALSO),45.47,29.73 - 50.64,1.43,10.26B,8.2B,0.63,225.973.782,37575,cac next 20,Transport,Sociétés ferroviaires
Alten SA (LTEN),74.7,54.5 - 119,1.43,2.47B,2.62B,1.33,33.696.147,37200,cac mid 60,Technologie,Services informatiques
Amundi SA (AMUN),62.3,43.82 - 78.55,3.1,12.43B,5.88B,1.41,200.939.323,4506,cac mid 60,Finance,Services d'investissement
Aperam SA (APAM),25.38,15.07 - 32.56,1.75,2B,6.11B,1.81,79.815.839,9500,cac mid 60,Matériaux de base,Fer et acier
ArcelorMittal S.A. (MT),9.54,5.98 - 21.44,0.26,9.44B,1.55B,2.07,1.012.079.421,191000,cac 40,Matériaux de base,Fer et acier
Arkema SA (AKE),97.84,42.5 - 99.52,2.2,7.36B,8.26B,1.38,76.358.572,20500,cac next 20,Matériaux de base,Fabrication de produits chimiques
Atos SE (ATOS),61.2,43.26 - 82.46,1.4,6.57B,17B,0.92,108.632.710,99906,cac 40,Technologie,Services informatiques
AXA SA (AXAF),15.37,11.84 - 25.61,1.43,36.15B,184.29B,1.36,2.386.592.828,99843,cac 40,Finance,Assurance (vie)
Biomerieux SA (BIOX),123.6,71.4 - 143.2,0.19,15.15B,4.15B, - 0.09,118.345.697,11795,cac mid 60,Santé,Biotechnologie et médicaments
BNP Paribas SA (BNPP),26.75,24.5 - 54.22,3.1,33.06B,69.57B,1.63,1.248.591.040,198816,cac 40,Finance,Banques (money center)
Bolloré SA (BOLL),3.26,2.01 - 4.12,0.06,9.32B,36.46B,0.75,2.930.886.036,83801,cac mid 60,Services,Services aux entreprises
Bouygues SA (BOUY),28.53,22.27 - 41.32,1.7,11.03B,37.93B,0.87,379.828.120,133197,cac 40,Biens d'équipement,Services de construction
Bureau Veritas SA (BVI),20.24,15.16 - 26.01,0.56,8.98B,7.3B,1.01,448.923.687,78395,cac next 20,Services,Services aux entreprises
Capgemini SE (CAPP),75.38,51.78 - 120.9,1.9,12.82B,20.86B,1.1,169.028.781,219314,cac 40,Technologie,Logiciels et programmation
Carrefour SA (CARR),14.66,12.2 - 18.15,0.46,11.7B,112.25B,0.69,797.807.965,321383,cac 40,Services,Détaillants (épicerie)
Casino Guichard Perrachon SA (CASP),22.5,21.34 - 50.08,3.12,2.34B,50.7B,0.65,107.750.694,209696,cac mid 60,Services,Détaillants (épicerie)
CGG SA (GEPH),0.716,0.629 - 3.121,1.43,488.82M,27.31M,2.74,711.323.839,4564,cac mid 60,Energie,Puits de pétrole - services et équipement
CNP Assurances SA (CNPP),11.29,5.3 - 18.65,0.94,7.45B,60.24B,1.28,685.913.525,5353,cac mid 60,Finance,Assurance (biens et multirisques)
Coface (COFA),6.74,4.45 - 12.51,1.0,1.03B,1.83B,0.85,150.697.558,3248,cac mid 60,Finance,Assurance (vie)
Crédit Agricole SA (CAGR),6.7,5.7 - 13.8,0.7,19.18B,61.36B,1.69,2.884.253.712,73037,cac 40,Finance,Banques régionales
Danone SA (DANO),58.4,50.26 - 82.38,2.1,36.73B,37.44B,0.68,648.871.267,102449,cac 40,Consommateur/Non cycliques,Transformation alimentaire
Dassault Aviation SA (AVMD),799.0,624 - 1.310,25.4,6.44B,10.02B,1.05,8.315.282,12757,cac mid 60,Biens d'équipement,Aérospatiale et défense
Dassault Systemes SE (DAST),121.65,105 - 164.15,0.7,33.21B,5.89B,0.69,259.461.643,19361,cac 40,Technologie,Logiciels et programmation
DBV Technologies SA (DBV),3.42,3.28 - 25.44,1.43,182.29M,20.7M,1.36,54.874.086,311,cac mid 60,Santé,Biotechnologie et médicaments
Airbus Group SE (AIR),57.04,48.12 - 139.4,1.53,46.4B,70.48B,1.74,782.310.505,135978,cac 40,Biens d'équipement,Aérospatiale et défense
Edenred SA (EDEN),42.43,29.74 - 51.56,0.7,10.32B,2.32B,0.74,245.817.083,8861,cac next 20,Services,Publicité
Electricité de France SA (EDF),8.79,5.98 - 13.61,0.33,26.85B,106.03B,0.78,3.098.738.148,161522,cac next 20,Fournisseurs de services,Fournisseurs d'électricité
Eiffage SA (FOUG),75.46,44.65 - 111.75,2.8,7.33B,25.83B,1.13,97.781.980,72213,cac next 20,Biens d'équipement,Services de construction
Elior Group (ELIOR),4.36,4.07 - 13.83,0.29,727.67M,4.78B,1.24,169.856.718,110162,cac mid 60,Services,Restauration
Elis Services SA (ELIS),11.09,5.38 - 19,1.43,2.43B,4.63B,1.38,221.179.748,49868,cac mid 60,Services,Services aux entreprises
Eramet SA (ERMT),26.8,18.66 - 55.56,1.43,695.09M,5.36B,1.24,26.459.441,12600,cac mid 60,Matériaux de base,Exploitation des métaux
EssilorLuxottica SA (ESLX),108.15,86.76 - 145,2.04,46.01B,36.97B,0.78,436.779.219,150616,cac 40,Santé,Matériel médical et fournitures
Eurazeo (EURA),47.36,35.6 - 70.05,1.5,3.14B,6.48B,1.09,75.807.044,29124,cac mid 60,Financial,Misc. Financial Services
Eurofins Scientific SE (EUFI),661.4,393 - 730,3.45,12.7B,6.89B,0.79,18.984.199,43476,cac next 20,Santé,Biotechnologie et médicaments
Euronext (ENX),98.1,52.9 - 105.1,1.59,7.14B,1.23B,0.64,69.767.375,1236,cac mid 60,Finance,Services d'investissement
Eutelsat Communications SA (ETL),9.12,7.98 - 18.67,0.89,2.02B,2.58B,0.79,230.150.705,1001,cac mid 60,Services,Services de communication
Faurecia (EPED),37.63,20.58 - 53.02,1.3,4.96B,23.94B,2.03,136.904.807,104672,cac next 20,Biens de consommation cycliques,Pièces automobiles et de camions
TechnipFMC PLC (FTI),6.34,4.5 - 24.24,0.48,2.72B,13.35B,2.17,449.408.233,37000,cac next 20,Energy,Oil Well Services & Equipment
Covivio SA (CVO),61.9,38.84 - 112.2,4.8,5.64B,1.73B,1.17,94.205.224,995,cac mid 60,Services,Opérations immobilières
Orange SA (ORAN),11.33,8.84 - 15.38,0.7,30.16B,63.36B,0.54,2.650.313.631,135619,cac 40,Services,Services de communication
Engie SA (ENGIE),9.36,8.63 - 16.8,0.8,22.66B,86.84B,1.07,2.413.131.292,171000,cac 40,Fournisseurs de services,Fournisseurs d'électricité
Gecina SA (GFCP),113.6,88.5 - 183.6,5.3,8.14B,1.01B,0.82,73.504.700,504,cac next 20,Services,Opérations immobilières
Genfit SA (GNFT),4.01,3.85 - 20.96,1.43,149.84M,40.96M,0.94,38.858.617,175,cac mid 60,Santé,Biotechnologie et médicaments
Getlink SE (GETP),12.23,8.61 - 17.04,0.41,6.47B,1.45B,0.92,537.893.064,3539,cac next 20,Transport,Sociétés ferroviaires
Groupe FNAC (FNAC),37.82,16.29 - 60.75,1.5,1.04B,10.01B,1.43,26.502.673,21693,cac mid 60,Services,Détaillants (spécialisés)
GTT (GTT),84.55,48.76 - 102.7,4.25,3.15B,492M,0.77,37.069.230,381,cac mid 60,Energie,Puits de pétrole - services et équipement
Hermès International SCA (HRMS),617.2,516 - 725.6,4.55,65.25B,10B,0.61,104.207.783,15417,cac 40,Biens de consommation cycliques,Vêtements / accessoires
Icade (ICAD),51.4,47.08 - 106,4.01,3.55B,2.14B,0.74,73.932.200,1127,cac mid 60,Services,Opérations immobilières
Iliad (ILD),168.55,80.26 - 184,2.6,9.87B,8.12B,0.17,58.390.539,11083,cac mid 60,Services,Services de communication
Imerys SA (IMTP),34.38,20.68 - 43.54,1.72,2.83B,6.25B,1.5,84.474.296,15023,cac mid 60,Biens d'équipement,Construction - matières premières
Ingenico Group SA (INGC),142.0,64.46 - 151.15,1.2,8.99B,4.77B,0.93,62.418.073,8669,cac next 20,Technologie,Matériel informatique
Ipsen SA (IPN),94.1,34.2 - 105.5,1.0,7.72B,4B,1,83.095.833,5807,cac mid 60,Santé,Biotechnologie et médicaments
Ipsos (ISOS),21.65,15.82 - 32.1,0.45,956.14M,2.79B,1.07,43.960.255,18417,cac mid 60,Services,Services aux entreprises
JC Decaux SA (JCDX),16.02,13.58 - 27.84,0.58,3.41B,4.46B,1.3,212.902.810,12076,cac mid 60,Services,Publicité
Kering SA (PRTP),477.0,348.55 - 614.9,11.5,59.43B,23.12B,1.1,126.279.322,38068,cac 40,Services,Détaillants (vêtements)
Klepierre SA (LOIM),12.62,10.94 - 34.66,2.2,3.26B,2.22B,1.07,285.225.082,1062,cac next 20,Services,Opérations immobilières
Korian Medica SA (KORI),32.7,25.16 - 45.66,1.43,2.55B,5.45B,0.65,82.708.882,26336,cac mid 60,Healthcare,Healthcare Facilities
L'Oréal SA (OREP),240.0,196 - 278.5,4.25,133.95B,43.42B,0.53,558.117.205,86030,cac 40,Consommateur/Non cycliques,Produits personnels et ménagers
LVMH Moet Hennessy Louis Vuitton SE (LVMH),344.5,278.7 - 439.05,6.8,171.97B,78.75B,1.02,503.652.374,147715,cac 40,Biens de consommation cycliques,Vêtements / accessoires
La Francaise Des Jeux Sa (FDJ),31.09,18.3 - 32.18,0.45,6.12B,2.8B,,191.000.000,2622,cac mid 60,Services,Casinos et jeux
Lagardere SCA (LAGA),17.39,8.14 - 21.26,1.0,1.97B,9.12B,1.29,129.185.495,26689,cac mid 60,Services,Impression et édition
Legrand SA (LEGD),59.16,45.91 - 77.94,1.42,16.2B,13.06B,0.94,273.682.252,38644,cac 40,Technologie,Instruments et commandes électroniques
Metropole Television SA (MMTP),11.3,8.55 - 17.09,1.0,1.38B,2.01B,1.03,125.671.000,2606,cac mid 60,Services,Audiovisuel et télévision par câble
Maisons du Monde SAS (MDM),13.27,5.35 - 15.21,1.43,581.06M,1.77B,1.49,45.148.771,8628,cac mid 60,Biens de consommation cycliques,Meubles et équipements
Mercialys SA (MERY),5.42,4.84 - 12.88,0.48,443.72M,283.86M,1.03,91.752.867,111,cac mid 60,Services,Opérations immobilières
Compagnie Générale des Etablissements Michelin SCA (MICP),86.06,68 - 119.5,2.0,15.69B,35.56B,1.03,179.002.555,127200,cac 40,Biens de consommation cycliques,Pneumatiques
Natixis (CNAT),2.18,1.47 - 4.41,1.43,6.79B,11.9B,1.22,3.151.102.683,19639,cac mid 60,Finance,Banques régionales
Neoen SA (NEOEN),43.95,21 - 49.75,1.43,3.64B,253.2M,,84.889.800,213,cac mid 60,Fournisseurs de services,Fournisseurs d'électricité
Nexans SA (NEXS),47.3,21.55 - 50.8,0.4,2B,9.69B,1.65,43.138.921,25945,cac mid 60,Matériaux de base,Produits fabriqués (divers)
Nexity (NEXI),30.08,23.3 - 47.76,2.0,1.6B,5.81B,0.8,55.387.955,10989,cac mid 60,Biens d'équipement,Services de construction
Orpea SA (ORP),101.4,69.1 - 129,1.43,6.47B,3.74B,0.62,64.570.695,65020,cac next 20,Santé,Etablissements de santé
Pernod Ricard SA (PERP),135.3,112.25 - 179.5,3.12,35.3B,9.18B,0.59,263.825.497,19140,cac 40,Consommateur/Non cycliques,Boissons (alcoolisées)
Peugeot SA (PEUP),13.64,8.88 - 27.06,1.23,11.9B,110.16B,1.64,894.884.478,196885,cac 40,Biens de consommation cycliques,Constructeurs automobiles et de camions
Compagnie Plastic Omnium SA (PLOF),22.12,12.01 - 27.2,0.49,3.16B,11.46B,1.93,145.444.918,23179,cac mid 60,Biens de consommation cycliques,Pièces automobiles et de camions
Publicis Groupe (PUBP),29.28,20.94 - 53.88,2.3,6.9B,16.23B,0.75,236.956.827,73853,cac 40,Services,Publicité
Rémy Cointreau (RCOP),150.7,79.2 - 154,1.0,7.45B,1.02B,0.16,49.849.721,1853,cac mid 60,Consommateur/Non cycliques,Boissons (alcoolisées)
Renault SA (RENA),18.48,12.77 - 64.2,1.1,5.28B,83B,1.54,291.022.000,183002,cac 40,Biens de consommation cycliques,Constructeurs automobiles et de camions
Rexel (RXL),11.48,4.92 - 13.41,0.48,3.32B,19.79B,1.78,302.353.101,22908,cac mid 60,Technologie,Instruments et commandes électroniques
Robertet (ROBF),1.022,662 - 1.068,5.0,2.36B,554.27M,0.34,2.308.095,1940,cac mid 60,Consommateur/Non cycliques,Produits personnels et ménagers
Rubis SCA (RUBF),38.7,31.6 - 57.45,1.75,3.72B,7.14B,0.83,103.520.893,3519,cac mid 60,Energie,Activités pétrolières et gazières
Safran SA (SAF),72.0,51.1 - 152.3,2.38,35.56B,36.73B,1.27,477.028.673,95443,cac 40,Biens d'équipement,Aérospatiale et défense
Compagnie de Saint-Gobain SA (SGOB),25.24,16.41 - 39.56,1.38,13.48B,63.56B,1.21,542.087.728,170643,cac 40,Biens d'équipement,Construction - matériaux et équipements
Sanofi SA (SASY),84.0,67.65 - 95.06,3.15,102.43B,56.27B,0.57,1.253.826.630,100409,cac 40,Santé,Biotechnologie et médicaments
Schneider Electric SE (SCHN),81.98,61.72 - 105.5,2.55,45.11B,40.56B,1.05,551.021.671,151297,cac 40,Technologie,Instruments et commandes électroniques
SCOR (SCOR),24.12,15.88 - 39.23,1.8,4.36B,25.54B,1.2,186.284.798,3028,cac next 20,Finance,Assurance (biens et multirisques)
SEB SA (SEBF),140.1,86.35 - 150.6,1.43,6.99B,10.27B,1,49.939.417,33293,cac mid 60,Biens de consommation cycliques,Appareils et outils
SES SA (SESFd),6.27,4.87 - 18.11,0.34,2.79B,2.94B,1.1,558.590.436,2159,cac mid 60,Services,Services de communication
Société BIC SA (BICP),47.82,41.86 - 68.25,2.45,2.11B,2.61B,0.2,44.980.244,12777,cac mid 60,Consommateur/Non cycliques,Fournitures de bureau
Societe Generale SA (SOGN),14.6,12.8 - 32.23,2.2,12.04B,43.34B,1.66,845.140.139,138240,cac 40,Finance,Banques régionales
Sodexo SA (EXHO),66.64,48.45 - 108.5,2.9,9.24B,22.6B,0.97,145.633.621,470000,cac next 20,Services,Restauration
Soitec SA (SOIT),126.0,48.86 - 132.8,1.43,4.34B,597.55M,2.12,33.176.479,1566,cac mid 60,Technologie,Semi-conducteurs
Solvay SA (SOLB),80.84,52.82 - 106.5,1.57,8.32B,10.51B,1.32,103.410.650,24100,cac next 20,Matériaux de base,Produits chimiques - plastiques et caoutchouc
Sopra Steria Group SA (SOPR),141.2,78.15 - 162,2.4,2.83B,6.6B,1.4,20.271.782,46603,cac mid 60,Technologie,Services informatiques
Spie SA (SPIE),15.68,7.8 - 19.72,0.61,2.44B,10.01B,1.55,157.697.734,47446,cac mid 60,Biens d'équipement,Services de construction
Sartorius Stedim Biotech SA (STDM),293.0,120.6 - 310.8,0.34,27.64B,1.6B,0.35,92.180.190,6690,cac mid 60,Santé,Matériel médical et fournitures
STMicroelectronics NV (STM),20.55,13.13 - 29.44,0.21,18.63B,369.64M,1.25,887.810.197,43480,cac 40,Technologie,Semi-conducteurs
Suez SA (SEVI),15.04,8.05 - 16.04,0.45,9.16B,26.18B,0.88,625.149.144,82536,cac next 20,Services,Services de gestion des déchets
Tarkett (TKTT),9.55,7.53 - 16.56,1.43,620.76M,4.23B,1.21,65.550.281,12950,cac mid 60,Matériaux de base,Produits en plastique et en caoutchouc
Teleperformance SE (TEPRF),256.0,150.3 - 279,2.4,15.24B,5.45B,0.67,58727599,331065,cac 40,Services,Business Services
Télévision Française 1 SA (TFFP),5.85,4.06 - 8.45,0.5,1.21B,2.08B,0.92,210.242.074,3202,cac mid 60,Services,Audiovisuel et télévision par câble
Thales (TCFP),74.22,52.5 - 112.5,2.65,15.25B,26.8B,0.68,212.756.640,82605,cac 40,Technologie,Matériel de communication
Total SA (TOTF),34.27,21.12 - 51.44,2.68,86.52B,3.88B,0.88,2.586.406.841,107776,cac 40,Energie,Activités pétrolières et gazières
Trigano SA (TRIA),111.5,41.76 - 115.5,2.0,2.17B,2.35B,1.11,19.280.200,8735,cac mid 60,Biens de consommation cycliques,Produits de loisirs
Ubisoft Entertainment SA (UBIP),72.34,39.89 - 80.8,1.43,8.79B,1.59B,0.97,120.910.645,18045,cac next 20,Technologie,Logiciels et programmation
WFD Unibail Rodamco NV (URW),58.88,45.22 - 157.15,10.8,8.16B,4.92B,1.46,138.378.605,3625,cac 40,Services,Opérations immobilières
Valeo SA (VLOF),27.83,10.51 - 37.02,0.2,6.42B,26.54B,1.97,239.452.552,114700,cac next 20,Biens d'équipement,Biens d'équipement (divers)
Vallourec SA (VLLP),20.67,18.27 - 114.68,1.43,229.65M,5.67B,2.53,11.445.379,17401,cac mid 60,Energie,Puits de pétrole - services et équipement
Veolia (VIE),18.77,16.02 - 29.09,0.5,10.24B,40.55B,0.66,554.756.150,178780,cac 40,Services,Services de gestion des déchets
Vinci SA (SGEF),71.92,54.76 - 107.35,3.05,40.09B,72.86B,0.83,554.745.990,222000,cac 40,Biens d'équipement,Services de construction
Virbac SA (VIRB),200.0,132.2 - 250,1.43,1.65B,1.42B,0.87,8.435.609,4897,cac mid 60,Santé,Biotechnologie et médicaments
Vivendi SA (VIV),20.88,16.6 - 26.69,0.6,24.59B,23.37B,0.73,1.170.575.000,43900,cac 40,Services,Industrie cinématographique
Wendel (MWDP),84.1,54.8 - 129.4,2.8,3.52B,11.9B,1.26,43.784.389,130621,cac mid 60,Services,Services aux entreprises
Worldline SA (WLN),56.82,36.36 - 77.7,1.43,10.56B,2.05B,0.95,182.644.703,11609,cac 40,Finance,Services financiers aux consommateurs
